"","0.00","0.16","0.32","0.48","0.64","0.80","0.96","1.12","1.28","1.44","1.60","1.76","1.92","2.08","2.24","2.40","2.56","2.72","2.88","3.04","3.20","3.36","3.52","3.68","3.84","4.00","4.16","4.32","4.48","4.64","4.80","4.96",
"","130.00","130.00","130.00","122.00","109.00","99.00","90.00","83.00","77.00","72.00","67.00","62.00","58.00","54.00","50.00","46.00","42.00","38.00","34.00","30.00","26.00","22.00","18.00","14.00","9.00","4.00","-3.00","-10.00","-20.00","-36.00","-40.00","-40.00",
"",
"Series","Name","Unit",
"Table","Manifold Air Temperature Sensor Calibration","CELSIUS",
"X Axis","Sensor Voltage","VOLTS",
