"","-40.0","-30.0","-20.0","-10.0","0.0","10.0","20.0","30.0","40.0","50.0","60.0","70.0","80.0","90.0","100.0","110.0",
"","15008.54","15008.54","15008.54","15008.54","15008.54","15008.54","15008.54","15008.54","15008.54","10005.49","7003.78","7003.78","7003.78","7003.78","7003.78","7003.78",
"",
"Series","Name","Unit",
"Table","Fuel Pressure Target - Warmup Mode 1A","KPA",
"X Axis","Coolant Temperature","CELSIUS",
