"","-40.00","-30.00","-20.00","-10.00","0.00","10.00","20.00","30.00","40.00","50.00","60.00","70.00","80.00","90.00","100.00","110.00",
"","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00","2000.00",
"",
"Series","Name","Unit",
"Table","Turbo Limits - Coolant","RPM",
"X Axis","Coolant Temperature","CELSIUS",
