"","-40.0","-30.0","-20.0","-10.0","0.0","10.0","20.0","30.0","40.0","50.0","60.0","70.0","80.0","90.0","100.0","110.0",
"","15.00","15.00","15.00","15.00","10.00","8.50","7.00","5.50","4.00","2.50","1.00","0.00","0.00","0.00","0.00","0.00",
"",
"Series","Name","Unit",
"Table","Ignition Timing Compensation Coolant - TGVs Open","DEGREES",
"X Axis","Coolant Temperature","CELSIUS",
