"","-40.00","-30.00","-20.00","-10.00","0.00","10.00","20.00","30.00","40.00","50.00","60.00","70.00","80.00","90.00","100.00","110.00",
"","20011.60","20011.60","20011.60","20011.60","20011.60","20011.60","20011.60","20011.60","13007.20","11006.47","10005.49","10005.49","10005.49","10005.49","10005.49","10005.49",
"",
"Series","Name","Unit",
"Table","Fuel Pressure Target - Warmup Mode 1B #1","KPA",
"X Axis","Coolant Temperature","CELSIUS",
